id_hex,id_dec,dbc_names,count,dlc,mean_us,median_us,p95_us,wraps,unique_payloads,changing_bytes,byte_ranges,byte_unique_counts,byte_entropy,changing_bits,top_payloads
0x020,32,,133836,7:133836,12151.02,12111,13930,1,1,,20-20 00-00 07-07 01-01 00-00 00-00 4F-4F 00-00,1 1 1 1 1 1 1 1,-0.00 -0.00 -0.00 -0.00 -0.00 -0.00 -0.00 -0.00,,20 00 07 01 00 00 4F 00 x133836
0x024,36,toyota_prius_2010_pt.dbc:KINEMATICS | toyota_2017_ref_pt.dbc:YGS1S03 | Prius.dbc:Unbekannt_03,133836,8:133836,12151.02,12255,14066,1,62829,D1 D2 D3 D4 D5 D6 D7 D8,01-02 00-FF 01-02 00-FF 61-62 00-FF 7F-81 00-FF,2 256 2 199 2 194 3 226,0.80 5.23 1.00 6.35 0.94 6.23 0.63 6.02,"D1:b0,1 D2:b0,1,2,3,4,5,6,7 D3:b0,1 D4:b0,1,2,3,4,5,6,7 D5:b0,1 D6:b0,1,2,3,4,5,6,7 D7:b0,1,2,3,4,5,6,7 D8:b0,1,2,3,4,5,6,7",02 01 02 09 62 0A 80 26 x1993; 02 02 01 F5 62 18 80 20 x1855; 02 02 02 09 62 0A 80 27 x1161; 02 01 01 F5 62 18 80 1F x674; 02 01 01 FE 62 04 80 14 x617
0x025,37,toyota_prius_2010_pt.dbc:STEER_ANGLE_SENSOR | toyota_2017_ref_pt.dbc:STR1S01 | Prius.dbc:Lenkung_1,133836,8:133836,12151.02,12123,13961,1,1,,A2-A2 37-37 98-98 00-00 FF-FF FF-FF FF-FF 9B-9B,1 1 1 1 1 1 1 1,-0.00 -0.00 -0.00 -0.00 -0.00 -0.00 -0.00 -0.00,,A2 37 98 00 FF FF FF 9B x133836
0x0AA,170,toyota_prius_2010_pt.dbc:WHEEL_SPEEDS | toyota_2017_ref_pt.dbc:VSC1F01 | Prius.dbc:V_RAD,133836,8:133836,12151.02,12110,14385,1,116912,D1 D2 D3 D4 D5 D6 D7 D8,1A-37 00-FF 1A-37 00-FF 1A-37 00-FF 1A-37 00-FF,30 256 30 256 30 256 30 256,4.56 7.51 4.56 7.51 4.54 7.52 4.55 7.52,"D1:b0,1,2,3,4,5 D2:b0,1,2,3,4,5,6,7 D3:b0,1,2,3,4,5 D4:b0,1,2,3,4,5,6,7 D5:b0,1,2,3,4,5 D6:b0,1,2,3,4,5,6,7 D7:b0,1,2,3,4,5 D8:b0,1,2,3,4,5,6,7",1A 6F 1A 6F 1A 6F 1A 6F x16674; 1B 1E 1B 1D 1B 1D 1B 1D x4; 1B 12 1B 14 1B 11 1B 12 x4; 1C 37 1B CE 1B F2 1B 76 x4; 1B 17 1B 15 1B 15 1B 14 x3
0x0B4,180,toyota_prius_2010_pt.dbc:SPEED | toyota_2017_ref_pt.dbc:VSC1S03 | Prius.dbc:Unbekannt_07,66918,8:66918,24302.04,24215,26056,1,53133,D5 D6 D7 D8,00-00 00-00 00-00 00-00 00-FC 00-1E 00-FF 00-FF,1 1 1 1 64 31 256 256,-0.00 -0.00 -0.00 -0.00 5.89 4.53 7.49 7.74,"D5:b2,3,4,5,6,7 D6:b0,1,2,3,4 D7:b0,1,2,3,4,5,6,7 D8:b0,1,2,3,4,5,6,7",00 00 00 00 4C 00 00 08 x3180; 00 00 00 00 F8 00 00 B4 x2118; 00 00 00 00 A0 00 00 5C x939; 00 00 00 00 D0 00 00 8C x899; 00 00 00 00 24 00 00 E0 x798
0x0B6,182,Prius.dbc:V,33459,4:33459,48604.10,48414,51103,1,6676,D1 D2 D4,00-1D 00-FF 00-00 00-FF 00-00 00-00 00-00 00-00,30 256 1 256 1 1 1 1,4.50 7.52 -0.00 7.52 -0.00 -0.00 -0.00 -0.00,"D1:b0,1,2,3,4 D2:b0,1,2,3,4,5,6,7 D4:b0,1,2,3,4,5,6,7",00 00 00 BA 00 00 00 00 x4163; 11 33 00 FE 00 00 00 00 x26; 13 0E 00 DB 00 00 00 00 x21; 13 11 00 DE 00 00 00 00 x21; 12 ED 00 B9 00 00 00 00 x21
0x127,295,toyota_prius_2010_pt.dbc:GEAR_PACKET | Prius.dbc:Unbekannt_02,99235,8:99235,16387.87,16391,18603,1,71473,D4 D5 D6 D7 D8,00-00 10-10 00-00 08-4F 00-FF 01-3F 00-FF 00-FF,1 1 1 4 238 43 256 256,-0.00 -0.00 -0.00 1.32 6.04 4.36 7.84 7.84,"D4:b0,1,2,6 D5:b0,1,2,3,4,5,6,7 D6:b0,1,2,3,4,5 D7:b0,1,2,3,4,5,6,7 D8:b0,1,2,3,4,5,6,7",00 10 00 08 00 01 B3 FC x3116; 00 10 00 08 00 06 54 A2 x2677; 00 10 00 08 00 3D 36 BB x999; 00 10 00 08 00 31 0F 88 x700; 00 10 00 08 00 39 60 E1 x684
0x1AA,426,toyota_2017_ref_pt.dbc:VSC1F02,33459,6:33459,48604.03,48408,50562,1,1,,00-00 00-00 00-00 00-00 00-00 B1-B1 00-00 00-00,1 1 1 1 1 1 1 1,-0.00 -0.00 -0.00 -0.00 -0.00 -0.00 -0.00 -0.00,,00 00 00 00 00 B1 00 00 x33459
0x1C4,452,toyota_prius_2010_pt.dbc:POWERTRAIN | toyota_2017_ref_pt.dbc:ENG1F07 | Prius.dbc:Unbekannt_06,69044,8:69044,23553.80,23555,25629,1,2323,D1 D2 D8,00-0E 00-FF 00-00 00-00 00-00 00-00 00-00 00-FF,15 256 1 1 1 1 1 256,1.74 3.00 -0.00 -0.00 -0.00 -0.00 -0.00 3.01,"D1:b0,1,2,3 D2:b0,1,2,3,4,5,6,7 D8:b0,1,2,3,4,5,6,7",00 00 00 00 00 00 00 CD x50148; 00 92 00 00 00 00 00 5F x103; 06 E2 00 00 00 00 00 B5 x61; 05 A7 00 00 00 00 00 79 x53; 06 E4 00 00 00 00 00 B7 x53
0x224,548,Prius.dbc:Bremse_1,66919,8:66919,24301.99,24219,26536,1,162,D1 D6,00-20 00-00 00-00 00-00 00-00 00-AB 00-00 08-08,2 1 1 1 1 156 1 1,0.71 -0.00 -0.00 -0.00 -0.00 1.79 -0.00 -0.00,"D1:b5 D6:b0,1,2,3,4,5,6,7",00 00 00 00 00 00 00 08 x53504; 20 00 00 00 00 37 00 08 x845; 20 00 00 00 00 0F 00 08 x834; 20 00 00 00 00 11 00 08 x834; 20 00 00 00 00 0E 00 08 x740
0x230,560,toyota_prius_2010_pt.dbc:BRAKE_MODULE2 | Prius.dbc:Unbekannt_01,66918,7:66918,24302.06,24216,26137,1,43908,D1 D2 D4 D7,00-FF 00-FF 02-02 00-05 00-00 00-00 00-FF 00-00,256 256 1 4 1 1 256 1,7.70 7.76 -0.00 0.93 -0.00 -0.00 7.78 -0.00,"D1:b0,1,2,3,4,5,6,7 D2:b0,1,2,3,4,5,6,7 D4:b0,2 D7:b0,1,2,3,4,5,6,7",12 FD 02 00 00 00 4A 00 x2740; 6D 10 02 01 00 00 B9 00 x1923; 18 B8 02 04 00 00 0F 00 x893; 8E 71 02 04 00 00 3E 00 x774; 24 A8 02 04 00 00 0B 00 x765
0x232,562,toyota_2017_ref_pt.dbc:VSC1S14,66918,4:66918,24302.04,24213,26644,1,1,,00-00 00-00 00-00 38-38 00-00 00-00 00-00 00-00,1 1 1 1 1 1 1 1,-0.00 -0.00 -0.00 -0.00 -0.00 -0.00 -0.00 -0.00,,00 00 00 38 00 00 00 00 x66918
0x235,565,,66918,6:66918,24302.04,24320,26122,1,1,,00-00 00-00 00-00 00-00 00-00 3D-3D 00-00 00-00,1 1 1 1 1 1 1 1,-0.00 -0.00 -0.00 -0.00 -0.00 -0.00 -0.00 -0.00,,00 00 00 00 00 3D 00 00 x66918
0x245,581,toyota_prius_2010_pt.dbc:GAS_PEDAL | Prius.dbc:Unbekannt_09,69032,5:69032,23557.51,23562,25685,1,337,D3 D4 D5,00-00 00-00 00-7B 00-30 4C-F7 00-00 00-00 00-00,1 1 124 4 172 1 1 1,-0.00 -0.00 4.79 1.02 5.12 -0.00 -0.00 -0.00,"D3:b0,1,2,3,4,5,6 D4:b4,5 D5:b0,1,2,3,4,5,6,7",00 00 00 00 4C 00 00 00 x28799; 00 00 28 00 74 00 00 00 x1093; 00 00 00 10 5C 00 00 00 x950; 00 00 29 00 75 00 00 00 x922; 00 00 5B 30 D7 00 00 00 x687
0x247,583,Prius.dbc:Display_1,69033,5:69033,23557.53,23562,25710,1,539,D1 D2 D3,04-BF 00-FF 32-FF 00-00 00-00 00-00 00-00 00-00,13 248 2 1 1 1 1 1,2.48 6.72 0.49 -0.00 -0.00 -0.00 -0.00 -0.00,"D1:b0,1,2,3,4,5,7 D2:b0,1,2,3,4,5,6,7 D3:b0,2,3,6,7",B6 00 FF 00 00 00 00 00 x3696; 06 00 FF 00 00 00 00 00 x3689; 0F F1 32 00 00 00 00 00 x2718; 04 00 32 00 00 00 00 00 x2572; 0F F2 32 00 00 00 00 00 x1922
0x260,608,toyota_prius_2010_pt.dbc:STEER_TORQUE_SENSOR | Prius.dbc:Unbekannt_04,80421,8:80421,20221.74,20215,21179,1,833,D2 D3 D8,00-00 00-FF 00-FF 00-00 00-00 00-00 00-00 00-FF,1 5 256 1 1 1 1 256,-0.00 1.41 7.86 -0.00 -0.00 -0.00 -0.00 7.85,"D2:b0,1,2,3,4,5,6,7 D3:b0,1,2,3,4,5,6,7 D8:b0,1,2,3,4,5,6,7",00 FF FA 00 00 00 00 63 x2110; 00 00 01 00 00 00 00 6B x1434; 00 FF FE 00 00 00 00 67 x1296; 00 00 05 00 00 00 00 6F x1027; 00 FF F8 00 00 00 00 61 x910
0x262,610,toyota_prius_2010_pt.dbc:EPS_STATUS,40211,5:40211,40443.58,40433,41245,1,2,D1 D5,21-25 00-00 00-00 00-00 8A-8E 00-00 00-00 00-00,2 1 1 1 2 1 1 1,0.57 -0.00 -0.00 -0.00 0.57 -0.00 -0.00 -0.00,D1:b2 D5:b2,21 00 00 00 8A 00 00 00 x34847; 25 00 00 00 8E 00 00 00 x5364
0x320,800,toyota_2017_ref_pt.dbc:VSC1S07 | Prius.dbc:Unbekannt_12,33459,8:33459,48604.10,48427,51137,1,628,D3 D5 D8,44-44 20-20 00-FF 00-00 00-FF 00-00 00-00 49-C6,1 1 14 1 123 1 1 124,-0.00 -0.00 1.78 -0.00 5.62 -0.00 -0.00 5.65,"D3:b0,1,2,3,4,5,6,7 D5:b0,1,2,3,4,5,6,7 D8:b0,1,2,3,4,5,6,7",44 20 00 00 00 00 00 8F x3061; 44 20 00 00 FF 00 00 8E x1614; 44 20 00 00 01 00 00 90 x1024; 44 20 04 00 00 00 00 93 x877; 44 20 00 00 04 00 00 93 x819
0x32A,810,,33459,2:33459,48604.12,48434,50496,1,1,,00-00 2F-2F 00-00 00-00 00-00 00-00 00-00 00-00,1 1 1 1 1 1 1 1,-0.00 -0.00 -0.00 -0.00 -0.00 -0.00 -0.00 -0.00,,00 2F 00 00 00 00 00 00 x33459
0x351,849,,26806,4:26806,60665.45,60658,61336,1,1,,00-00 00-00 00-00 00-00 00-00 00-00 00-00 00-00,1 1 1 1 1 1 1 1,-0.00 -0.00 -0.00 -0.00 -0.00 -0.00 -0.00 -0.00,,00 00 00 00 00 00 00 00 x26806
0x361,865,,25203,8:25203,64527.21,64527,66776,1,4797,D1 D2 D3 D5 D7 D8,80-81 00-FF 00-7B 00-00 20-E0 00-00 00-4B 6F-8D,2 67 124 1 4 1 76 31,0.15 5.55 4.77 -0.00 1.11 -0.00 5.74 2.27,"D1:b0 D2:b0,1,2,3,4,5,6,7 D3:b0,1,2,3,4,5,6 D5:b6,7 D7:b0,1,2,3,4,5,6 D8:b0,1,2,3,4,5,6,7",80 00 00 00 20 00 00 88 x1854; 80 00 00 00 E0 00 00 88 x934; 80 26 00 00 60 00 2E 7C x201; 80 23 00 00 60 00 2A 7C x187; 80 00 00 00 A0 00 00 88 x166
0x381,897,toyota_2017_ref_pt.dbc:ACN1S04,353,8:353,4613833.32,4997260,4999453,0,8,D2 D3 D8,00-00 00-81 00-0E 10-10 00-00 00-00 00-00 00-80,1 2 4 1 1 1 1 2,-0.00 0.38 0.48 -0.00 -0.00 -0.00 -0.00 0.24,"D2:b0,7 D3:b0,1,2,3 D8:b7",00 00 00 10 00 00 00 00 x326; 00 81 0E 10 00 00 00 80 x7; 00 81 0E 10 00 00 00 00 x6; 00 81 01 10 00 00 00 00 x6; 00 81 01 10 00 00 00 80 x5
0x382,898,,395,2:395,4122005.96,4997221,4998855,0,20,D1,00-39 38-38 00-00 00-00 00-00 00-00 00-00 00-00,20 1 1 1 1 1 1 1,1.39 -0.00 -0.00 -0.00 -0.00 -0.00 -0.00 -0.00,"D1:b0,1,2,3,4,5",39 38 00 00 00 00 00 00 x325; 25 38 00 00 00 00 00 00 x7; 22 38 00 00 00 00 00 00 x6; 23 38 00 00 00 00 00 00 x6; 24 38 00 00 00 00 00 00 x6
0x383,899,,814,8:814,1998854.82,1998990,2001197,0,1,,01-01 00-00 01-01 00-00 00-00 00-00 00-00 00-00,1 1 1 1 1 1 1 1,-0.00 -0.00 -0.00 -0.00 -0.00 -0.00 -0.00 -0.00,,01 00 01 00 00 00 00 00 x814
0x384,900,toyota_2017_ref_pt.dbc:AVN1S01,542,6:542,3000085.19,3000084,3002532,0,1,,F0-F0 F0-F0 00-00 00-00 00-00 00-00 00-00 00-00,1 1 1 1 1 1 1 1,-0.00 -0.00 -0.00 -0.00 -0.00 -0.00 -0.00 -0.00,,F0 F0 00 00 00 00 00 00 x542
0x386,902,toyota_2017_ref_pt.dbc:AVN1S03,542,6:542,3000084.54,3000082,3002168,0,1,,00-00 00-00 00-00 07-07 00-00 03-03 00-00 00-00,1 1 1 1 1 1 1 1,-0.00 -0.00 -0.00 -0.00 -0.00 -0.00 -0.00 -0.00,,00 00 00 07 00 03 00 00 x542
0x387,903,,1626,8:1626,1000028.50,1000035,1001619,0,1,,00-00 00-00 00-00 00-00 00-00 00-00 3F-3F 3F-3F,1 1 1 1 1 1 1 1,-0.00 -0.00 -0.00 -0.00 -0.00 -0.00 -0.00 -0.00,,00 00 00 00 00 00 3F 3F x1626
0x389,905,toyota_2017_ref_pt.dbc:AVN1S08,1626,8:1626,1000027.65,1000038,1001656,0,1,,00-00 20-20 00-00 00-00 00-00 00-00 00-00 00-00,1 1 1 1 1 1 1 1,-0.00 -0.00 -0.00 -0.00 -0.00 -0.00 -0.00 -0.00,,00 20 00 00 00 00 00 00 x1626
0x38B,907,,1625,7:1625,1000683.83,1000691,1001866,0,10,D3,00-00 00-00 00-32 00-00 00-00 00-00 00-00 00-00,1 1 10 1 1 1 1 1,-0.00 -0.00 0.07 -0.00 -0.00 -0.00 -0.00 -0.00,"D3:b0,1,2,3,4,5",00 00 00 00 00 00 00 00 x1616; 00 00 07 00 00 00 00 00 x1; 00 00 0B 00 00 00 00 00 x1; 00 00 18 00 00 00 00 00 x1; 00 00 20 00 00 00 00 00 x1
0x38E,910,,1626,8:1626,1000027.75,1000035,1001562,0,1,,00-00 00-00 00-00 00-00 00-00 00-00 00-00 00-00,1 1 1 1 1 1 1 1,-0.00 -0.00 -0.00 -0.00 -0.00 -0.00 -0.00 -0.00,,00 00 00 00 00 00 00 00 x1626
0x38F,911,toyota_2017_ref_pt.dbc:AVN1S07,1626,8:1626,1000027.41,1000040,1001650,0,1,,09-09 00-00 00-00 00-00 00-00 00-00 00-00 00-00,1 1 1 1 1 1 1 1,-0.00 -0.00 -0.00 -0.00 -0.00 -0.00 -0.00 -0.00,,09 00 00 00 00 00 00 00 x1626
0x394,916,toyota_2017_ref_pt.dbc:EPS1S90,5362,1:5362,303326.75,303317,305569,1,1,,00-00 00-00 00-00 00-00 00-00 00-00 00-00 00-00,1 1 1 1 1 1 1 1,-0.00 -0.00 -0.00 -0.00 -0.00 -0.00 -0.00 -0.00,,00 00 00 00 00 00 00 00 x5362
0x399,921,toyota_prius_2010_pt.dbc:PCM_CRUISE_SM | toyota_2017_ref_pt.dbc:ENG1S95,1588,7:1588,1024241.28,1024237,1026425,0,1,,00-00 00-00 00-00 00-00 00-00 00-00 00-00 00-00,1 1 1 1 1 1 1 1,-0.00 -0.00 -0.00 -0.00 -0.00 -0.00 -0.00 -0.00,,00 00 00 00 00 00 00 00 x1588
0x39B,923,,1625,5:1625,1000682.95,1000691,1001743,0,1,,00-00 00-00 00-00 00-00 00-00 00-00 00-00 00-00,1 1 1 1 1 1 1 1,-0.00 -0.00 -0.00 -0.00 -0.00 -0.00 -0.00 -0.00,,00 00 00 00 00 00 00 00 x1625
0x3A5,933,toyota_2017_ref_pt.dbc:AVN1S13,1805,8:1805,900922.12,1000014,1001631,0,32,D7,00-00 00-00 00-00 00-00 00-00 00-00 00-3E 00-00,1 1 1 1 1 1 32 1,-0.00 -0.00 -0.00 -0.00 -0.00 -0.00 4.30 -0.00,"D7:b1,2,3,4,5",00 00 00 00 00 00 30 00 x271; 00 00 00 00 00 00 00 00 x254; 00 00 00 00 00 00 10 00 x186; 00 00 00 00 00 00 20 00 x115; 00 00 00 00 00 00 12 00 x108
0x3B0,944,toyota_2017_ref_pt.dbc:ACN1S07 | Prius.dbc:Unbekannt_27,1630,6:1630,998198.01,999651,1001496,1,15,D2 D4 D6,00-00 A3-A7 00-00 49-4B 00-00 01-11 00-00 00-00,1 5 1 3 1 3 1 1,-0.00 1.90 -0.00 0.96 -0.00 0.57 -0.00 -0.00,"D2:b0,1,2 D4:b0,1 D6:b3,4",00 A5 00 4A 00 11 00 00 x412; 00 A6 00 4A 00 11 00 00 x391; 00 A4 00 4A 00 11 00 00 x264; 00 A5 00 49 00 11 00 00 x101; 00 A4 00 4A 00 01 00 00 x93
0x3B1,945,toyota_2017_ref_pt.dbc:ABG1S01,1628,8:1628,998680.35,999730,1001447,0,2,D3,00-00 00-00 00-01 01-01 00-00 08-08 00-00 00-00,1 1 2 1 1 1 1 1,-0.00 -0.00 0.31 -0.00 -0.00 -0.00 -0.00 -0.00,D3:b0,00 00 00 01 00 08 00 00 x1538; 00 00 01 01 00 08 00 00 x90
0x3B3,947,Prius.dbc:Unbekannt_10,3176,3:3176,512120.83,512120,514392,1,39,D3,00-00 00-00 28-74 00-00 00-00 00-00 00-00 00-00,1 1 39 1 1 1 1 1,-0.00 -0.00 3.85 -0.00 -0.00 -0.00 -0.00 -0.00,"D3:b1,2,3,4,5,6",00 00 28 00 00 00 00 00 x1372; 00 00 42 00 00 00 00 00 x97; 00 00 40 00 00 00 00 00 x91; 00 00 4C 00 00 00 00 00 x74; 00 00 5A 00 00 00 00 00 x74
0x3B6,950,,1669,8:1669,974407.72,1000682,1001724,1,164,D3 D6 D7 D8,00-00 00-00 02-05 10-10 00-00 00-6E 03-AF 00-0D,1 1 4 1 1 4 10 11,-0.00 -0.00 1.88 -0.00 -0.00 1.81 2.41 3.19,"D3:b0,1,2 D6:b1,2,3,5,6 D7:b0,2,3,4,5,6,7 D8:b0,1,2,3",00 00 03 10 00 00 77 00 x63; 00 00 03 10 00 02 AF 02 x54; 00 00 05 10 00 00 03 01 x50; 00 00 04 10 00 00 77 00 x45; 00 00 02 10 00 00 03 00 x44
0x3B7,951,toyota_prius_2010_pt.dbc:ESP_CONTROL | toyota_2017_ref_pt.dbc:VSC1S95,5353,8:5353,303776.13,302464,310195,0,1,,00-00 07-07 00-00 00-00 00-00 00-00 00-00 00-00,1 1 1 1 1 1 1 1,-0.00 -0.00 -0.00 -0.00 -0.00 -0.00 -0.00 -0.00,,00 07 00 00 00 00 00 00 x5353
0x3B9,953,Prius.dbc:Unbekannt_21,1588,3:1588,1024078.43,1024074,1026272,0,25,D1,9E-B6 00-00 00-00 00-00 00-00 00-00 00-00 00-00,25 1 1 1 1 1 1 1,4.28 -0.00 -0.00 -0.00 -0.00 -0.00 -0.00 -0.00,"D1:b0,1,2,3,4,5",AC 00 00 00 00 00 00 00 x180; A8 00 00 00 00 00 00 00 x144; AD 00 00 00 00 00 00 00 x131; AB 00 00 00 00 00 00 00 x124; B0 00 00 00 00 00 00 00 x117
0x3BB,955,toyota_2017_ref_pt.dbc:ENG1S92,1649,4:1649,985792.72,1024227,1026354,0,2,D1,00-01 00-00 00-00 00-00 00-00 00-00 00-00 00-00,2 1 1 1 1 1 1 1,0.74 -0.00 -0.00 -0.00 -0.00 -0.00 -0.00 -0.00,D1:b0,00 00 00 00 00 00 00 00 x1301; 01 00 00 00 00 00 00 00 x348
0x3BC,956,toyota_2017_ref_pt.dbc:ECT1S92,1596,8:1596,1019116.60,1024237,1026645,1,4,D2 D6,00-00 00-20 00-00 00-00 00-00 01-81 00-00 00-00,1 3 1 1 1 2 1 1,-0.00 0.58 -0.00 -0.00 -0.00 0.50 -0.00 -0.00,"D2:b4,5 D6:b7",00 00 00 00 00 81 00 00 x1419; 00 20 00 00 00 01 00 00 x129; 00 10 00 00 00 01 00 00 x44; 00 00 00 00 00 01 00 00 x4
0x3BD,957,,1633,1:1633,996213.34,999711,1001591,0,3,D1,00-20 00-00 00-00 00-00 00-00 00-00 00-00 00-00,3 1 1 1 1 1 1 1,0.43 -0.00 -0.00 -0.00 -0.00 -0.00 -0.00 -0.00,"D1:b2,5",04 00 00 00 00 00 00 00 x1496; 20 00 00 00 00 00 00 00 x133; 00 00 00 00 00 00 00 00 x4
0x3D3,979,toyota_2017_ref_pt.dbc:ENG1S28 | Prius.dbc:Unbekannt_14,3101,2:3101,524328.17,524329,526578,0,624,D1 D2,00-0A 00-FE 00-00 00-00 00-00 00-00 00-00 00-00,11 243 1 1 1 1 1 1,1.58 2.85 -0.00 -0.00 -0.00 -0.00 -0.00 -0.00,"D1:b0,1,2,3 D2:b0,1,2,3,4,5,6,7",00 00 00 00 00 00 00 00 x2286; 05 16 00 00 00 00 00 00 x5; 04 5C 00 00 00 00 00 00 x4; 04 8D 00 00 00 00 00 00 x4; 06 D6 00 00 00 00 00 00 x4
0x3E0,992,toyota_2017_ref_pt.dbc:MET1S18,1627,8:1627,999330.29,999329,1001684,0,1,,05-05 71-71 00-00 00-00 0F-0F 82-82 80-80 00-00,1 1 1 1 1 1 1 1,-0.00 -0.00 -0.00 -0.00 -0.00 -0.00 -0.00 -0.00,,05 71 00 00 0F 82 80 00 x1627
0x3E6,998,toyota_2017_ref_pt.dbc:AVN1S11,542,5:542,3000087.69,3000088,3002622,0,1,,00-00 00-00 00-00 00-00 00-00 00-00 00-00 00-00,1 1 1 1 1 1 1 1,-0.00 -0.00 -0.00 -0.00 -0.00 -0.00 -0.00 -0.00,,00 00 00 00 00 00 00 00 x542
0x3E7,999,toyota_2017_ref_pt.dbc:AVN1S17,542,7:542,3000085.29,3000086,3002743,0,1,,00-00 00-00 00-00 00-00 00-00 00-00 00-00 00-00,1 1 1 1 1 1 1 1,-0.00 -0.00 -0.00 -0.00 -0.00 -0.00 -0.00 -0.00,,00 00 00 00 00 00 00 00 x542
0x3E8,1000,toyota_2017_ref_pt.dbc:AVN1S18,542,8:542,3000083.69,3000085,3002175,0,1,,00-00 00-00 00-00 00-00 00-00 00-00 00-00 00-00,1 1 1 1 1 1 1 1,-0.00 -0.00 -0.00 -0.00 -0.00 -0.00 -0.00 -0.00,,00 00 00 00 00 00 00 00 x542
0x3E9,1001,toyota_2017_ref_pt.dbc:AVN1S19,542,8:542,3000080.48,3000082,3002473,0,1,,00-00 00-00 00-00 00-00 00-00 00-00 00-00 00-00,1 1 1 1 1 1 1 1,-0.00 -0.00 -0.00 -0.00 -0.00 -0.00 -0.00 -0.00,,00 00 00 00 00 00 00 00 x542
0x3F9,1017,toyota_2017_ref_pt.dbc:ENG1F03,6507,8:6507,249914.96,249914,252030,0,1,,58-58 5C-5C 56-56 01-01 00-00 00-00 00-00 0F-0F,1 1 1 1 1 1 1 1,-0.00 -0.00 -0.00 -0.00 -0.00 -0.00 -0.00 -0.00,,58 5C 56 01 00 00 00 0F x6507
0x3FA,1018,,5419,1:5419,300102.80,300108,301113,1,1,,00-00 00-00 00-00 00-00 00-00 00-00 00-00 00-00,1 1 1 1 1 1 1 1,-0.00 -0.00 -0.00 -0.00 -0.00 -0.00 -0.00 -0.00,,00 00 00 00 00 00 00 00 x5419
0x413,1043,toyota_2017_ref_pt.dbc:AVN1S31,1626,8:1626,1000028.76,1000035,1001640,0,1,,01-01 01-01 01-01 09-09 00-00 00-00 00-00 00-00,1 1 1 1 1 1 1 1,-0.00 -0.00 -0.00 -0.00 -0.00 -0.00 -0.00 -0.00,,01 01 01 09 00 00 00 00 x1626
0x420,1056,toyota_2017_ref_pt.dbc:VSC1S08,1603,8:1603,1014619.66,1010324,1035150,1,3,D2 D4 D7 D8,00-00 11-13 00-00 11-13 FD-FD FC-FC 00-01 47-4B,1 2 1 2 1 1 2 3,-0.00 0.21 -0.00 0.21 -0.00 -0.00 0.01 0.23,"D2:b1 D4:b1 D7:b0 D8:b0,1,2,3",00 11 00 11 FD FC 00 47 x1547; 00 13 00 13 FD FC 00 4B x54; 00 11 00 11 FD FC 01 48 x2
0x421,1057,,1625,8:1625,1000683.97,1000692,1001819,0,1,,00-00 00-00 00-00 00-00 00-00 00-00 00-00 00-00,1 1 1 1 1 1 1 1,-0.00 -0.00 -0.00 -0.00 -0.00 -0.00 -0.00 -0.00,,00 00 00 00 00 00 00 00 x1625
0x423,1059,toyota_2017_ref_pt.dbc:STR1S02,1615,1:1615,1006912.63,1006912,1009190,0,1,,20-20 00-00 00-00 00-00 00-00 00-00 00-00 00-00,1 1 1 1 1 1 1 1,-0.00 -0.00 -0.00 -0.00 -0.00 -0.00 -0.00 -0.00,,20 00 00 00 00 00 00 00 x1615
